Entity	Code	Year	CO2emissions
Solomon Islands	SLB	2017	0.0007
Somalia	SOM	2017	0.0021
South Africa	ZAF	2017	1.2622
South Korea	KOR	2017	1.7041
South Sudan	SSD	2017	0.0051
Spain	ESP	2017	0.7784
Sri Lanka	LKA	2017	0.064
Statistical differences		2017	0.71
Sudan	SDN	2017	0.0504
Suriname	SUR	2017	0.0057
Swaziland	SWZ	2017	0.0037
Sweden	SWE	2017	0.1148
Switzerland	CHE	2017	0.1108
Syria	SYR	2017	0.0772
Taiwan	TWN	2017	0.751
Tajikistan	TJK	2017	0.0158
Tanzania	TZA	2017	0.0394
Thailand	THA	2017	0.9151
Timor	TLS	2017	0.0015
Togo	TGO	2017	0.0083
Tonga	TON	2017	0.0004
Trinidad and Tobago	TTO	2017	0.1126
Tunisia	TUN	2017	0.0778
Turkey	TUR	2017	1.2389
Turkmenistan	TKM	2017	0.2011
Turks and Caicos Islands	TCA	2017	0.0006
Tuvalu	TUV	2017	0
Uganda	UGA	2017	0.016
Ukraine	UKR	2017	0.5867
United Arab Emirates	ARE	2017	0.6411
United Kingdom	GBR	2017	1.0641
United States	USA	2017	14.5755
Uruguay	URY	2017	0.0189
Uzbekistan	UZB	2017	0.2738
Vanuatu	VUT	2017	0.0005
Venezuela	VEN	2017	0.4414
Vietnam	VNM	2017	0.55
Wallis and Futuna Islands		2017	0.0001
Yemen	YEM	2017	0.05
Zambia	ZMB	2017	0.01
Zimbabwe	ZWE	2017	0.03
